iter	Passed	Remaining
0	1	144
1	2	118
2	3	112
3	4	103
4	5	99
5	6	96
6	10	136
7	12	143
8	13	139
9	14	132
10	15	126
11	16	122
12	17	119
13	18	115
14	19	112
15	21	111
16	26	129
17	27	127
18	29	124
19	30	122
20	31	119
21	32	116
22	34	115
23	35	113
24	38	114
25	42	120
26	43	118
27	45	116
28	46	113
29	47	111
30	59	132
31	60	128
32	61	125
33	63	122
34	64	119
35	65	116
36	66	113
37	70	114
38	72	113
39	73	110
40	75	108
41	75	104
42	76	102
43	78	99
44	79	97
45	80	94
46	81	92
47	85	92
48	87	91
49	88	88
50	90	86
51	91	84
52	92	82
53	93	79
54	94	77
55	95	75
56	97	73
57	100	72
58	103	72
59	105	70
60	106	68
61	108	66
62	109	64
63	111	62
64	113	60
65	117	60
66	118	58
67	119	56
68	120	54
69	122	52
70	123	50
71	124	48
72	125	46
73	126	44
74	131	43
75	133	42
76	135	40
77	136	38
78	137	36
79	138	34
80	139	32
81	140	30
82	141	28
83	143	27
84	146	25
85	148	24
86	149	22
87	150	20
88	152	18
89	152	16
90	153	15
91	154	13
92	155	11
93	157	10
94	161	8
95	163	6
96	165	5
97	168	3
98	169	1
99	170	0
